Name,Type,Nom,min,max,avg,ohm/m,g/m
CCAW70,CCAW,70,0.081,0.0865,0.08375,6.51945,0.01476
CCAW80,CCAW,80,0.095,0.1015,0.09825,4.99212,0.01968
CCAW85,CCAW,85,0.1,0.1065,0.10325,4.4688,0.023206
CCAW90,CCAW,90,0.105,0.1115,0.10825,3.94401,0.0246
CCAW100,CCAW,100,0.115,0.1215,0.11825,3.19431,0.03116
CCAW110,CCAW,110,0.125,0.1325,0.12875,2.64012,0.03731
CCAW120,CCAW,120,0.137,0.1435,0.14025,2.21823,0.0451
CCAW130,CCAW,130,0.147,0.1545,0.15075,1.89042,0.0533
CCAW140,CCAW,140,0.157,0.1645,0.16075,1.62876,0.0615
CCAW150,CCAW,150,0.167,0.1745,0.17075,1.42002,0.0697
CCAW160,CCAW,160,0.179,0.1855,0.18225,1.24803,0.0779
CCAW170,CCAW,170,0.189,0.1965,0.19275,1.10544,0.0861
CCAW180,CCAW,180,0.201,0.2075,0.20425,0.9849,0.0984
CCAW190,CCAW,190,0.211,0.2185,0.21475,0.88494,0.1107
CCAW200,CCAW,200,0.221,0.2285,0.22475,0.79821,0.1189
CCAW210,CCAW,210,0.231,0.2385,0.23475,0.72324,0.1312
CCAW220,CCAW,220,0.24,0.248,0.244,0.66003,0.1435
CCAW230,CCAW,230,0.254,0.26,0.257,0.6027,0.1599
CCAW240,CCAW,240,0.264,0.271,0.2675,0.55419,0.1722
CCAW250,CCAW,250,0.274,0.281,0.2775,0.51009,0.1886
CCAW260,CCAW,260,0.284,0.291,0.2875,0.47187,0.2009
CCAW270,CCAW,270,0.294,0.302,0.298,0.43806,0.2173
CCAW280,CCAW,280,0.312,0.316,0.314,0.40719,0.2337
CCAW290,CCAW,290,0.314,0.322,0.318,0.37926,0.2501
CCAW300,CCAW,300,0.327,0.3335,0.33025,0.35427,0.2665
CCAW320,CCAW,320,0.347,0.3495,0.34825,0.31164,0.3034
CCAW350,CCAW,350,0.377,0.3745,0.37575,0.26019,0.3608
CCAW370,CCAW,370,0.399,0.4095,0.40425,0.23373,0.4059
CCAW400,CCAW,400,0.431,0.4405,0.43575,0.19992,0.4715
CCAW450,CCAW,450,0.48,0.491,0.4855,0.15729,0.5986
CCAW500,CCAW,500,0.532,0.546,0.539,0.11172,0.738
SV70,SV,70,0.081,0.092,0.0865,4.435,0.036
SV80,SV,80,0.095,0.108,0.1015,3.396,0.048
SV85,SV,85,0.1,0.113,0.1065,3.04,0.0566
SV90,SV,90,0.105,0.118,0.1115,2.683,0.06
SV100,SV,100,0.115,0.128,0.1215,2.173,0.076
SV110,SV,110,0.125,0.14,0.1325,1.796,0.091
SV120,SV,120,0.137,0.15,0.1435,1.509,0.11
SV130,SV,130,0.147,0.162,0.1545,1.286,0.13
SV140,SV,140,0.157,0.172,0.1645,1.108,0.15
SV150,SV,150,0.167,0.182,0.1745,0.966,0.17
SV160,SV,160,0.179,0.192,0.1855,0.849,0.19
SV170,SV,170,0.189,0.204,0.1965,0.752,0.21
SV180,SV,180,0.201,0.214,0.2075,0.67,0.24
SV190,SV,190,0.211,0.226,0.2185,0.602,0.27
SV200,SV,200,0.221,0.236,0.2285,0.543,0.29
SV210,SV,210,0.231,0.246,0.2385,0.492,0.32
SV220,SV,220,0.24,0.256,0.248,0.449,0.35
SV230,SV,230,0.254,0.266,0.26,0.41,0.39
SV240,SV,240,0.264,0.278,0.271,0.377,0.42
SV250,SV,250,0.274,0.288,0.281,0.347,0.46
SV260,SV,260,0.284,0.298,0.291,0.321,0.49
SV270,SV,270,0.294,0.31,0.302,0.298,0.53
SV280,SV,280,0.304,0.32,0.312,0.277,0.57
SV290,SV,290,0.314,0.33,0.322,0.258,0.61
SV300,SV,300,0.327,0.34,0.3335,0.241,0.65
SV320,SV,320,0.347,0.352,0.3495,0.212,0.74
SV350,SV,350,0.377,0.372,0.3745,0.177,0.88
SV370,SV,370,0.399,0.42,0.4095,0.159,0.99
SV400,SV,400,0.431,0.45,0.4405,0.136,1.15
SV450,SV,450,0.48,0.502,0.491,0.107,1.46
