Name,Type,"size, nom","width, m*e-6, avg","width, m*e-6, max","height, m*e-6, avg",ohm/m,g/m,stacking coeff.
CCAW70,CCAW,70,83.75,86.5,83.75,6.51945,0.01476,0.9
CCAW80,CCAW,80,98.25,101.5,98.25,4.99212,0.01968,0.9
CCAW85,CCAW,85,103.25,106.5,103.25,4.4688,0.023206,0.9
CCAW90,CCAW,90,108.25,111.5,108.25,3.94401,0.0246,0.9
CCAW100,CCAW,100,118.25,121.5,118.25,3.19431,0.03116,0.9
CCAW110,CCAW,110,128.75,132.5,128.75,2.64012,0.03731,0.9
CCAW120,CCAW,120,140.25,143.5,140.25,2.21823,0.0451,0.9
CCAW130,CCAW,130,150.75,154.5,150.75,1.89042,0.0533,0.9
CCAW140,CCAW,140,160.75,164.5,160.75,1.62876,0.0615,0.9
CCAW150,CCAW,150,170.75,174.5,170.75,1.42002,0.0697,0.9
CCAW160,CCAW,160,182.25,185.5,182.25,1.24803,0.0779,0.9
CCAW170,CCAW,170,192.75,196.5,192.75,1.10544,0.0861,0.9
CCAW180,CCAW,180,204.25,207.5,204.25,0.9849,0.0984,0.9
CCAW190,CCAW,190,214.75,218.5,214.75,0.88494,0.1107,0.9
CCAW200,CCAW,200,224.75,228.5,224.75,0.79821,0.1189,0.9
CCAW210,CCAW,210,234.75,238.5,234.75,0.72324,0.1312,0.9
CCAW220,CCAW,220,244,248,244,0.66003,0.1435,0.9
CCAW230,CCAW,230,257,260,257,0.6027,0.1599,0.9
CCAW240,CCAW,240,267.5,271,267.5,0.55419,0.1722,0.9
CCAW250,CCAW,250,277.5,281,277.5,0.51009,0.1886,0.9
CCAW260,CCAW,260,287.5,291,287.5,0.47187,0.2009,0.9
CCAW270,CCAW,270,298,302,298,0.43806,0.2173,0.9
CCAW280,CCAW,280,314,316,314,0.40719,0.2337,0.9
CCAW290,CCAW,290,318,322,318,0.37926,0.2501,0.9
CCAW300,CCAW,300,330.25,333.5,330.25,0.35427,0.2665,0.9
CCAW320,CCAW,320,348.25,349.5,348.25,0.31164,0.3034,0.9
CCAW350,CCAW,350,375.75,374.5,375.75,0.26019,0.3608,0.9
CCAW370,CCAW,370,404.25,409.5,404.25,0.23373,0.4059,0.9
CCAW400,CCAW,400,435.75,440.5,435.75,0.19992,0.4715,0.9
CCAW450,CCAW,450,485.5,491,485.5,0.15729,0.5986,0.9
CCAW500,CCAW,500,539,546,539,0.11172,0.738,0.9
SV70,SV,70,86.5,92,86.5,4.435,0.036,0.9
SV80,SV,80,101.5,108,101.5,3.396,0.048,0.9
SV85,SV,85,106.5,113,106.5,3.04,0.0566,0.9
SV90,SV,90,111.5,118,111.5,2.683,0.06,0.9
SV100,SV,100,121.5,128,121.5,2.173,0.076,0.9
SV110,SV,110,132.5,140,132.5,1.796,0.091,0.9
SV120,SV,120,143.5,150,143.5,1.509,0.11,0.9
SV130,SV,130,154.5,162,154.5,1.286,0.13,0.9
SV140,SV,140,164.5,172,164.5,1.108,0.15,0.9
SV150,SV,150,174.5,182,174.5,0.966,0.17,0.9
SV160,SV,160,185.5,192,185.5,0.849,0.19,0.9
SV170,SV,170,196.5,204,196.5,0.752,0.21,0.9
SV180,SV,180,207.5,214,207.5,0.67,0.24,0.9
SV190,SV,190,218.5,226,218.5,0.602,0.27,0.9
SV200,SV,200,228.5,236,228.5,0.543,0.29,0.9
SV210,SV,210,238.5,246,238.5,0.492,0.32,0.9
SV220,SV,220,248,256,248,0.449,0.35,0.9
SV230,SV,230,260,266,260,0.41,0.39,0.9
SV240,SV,240,271,278,271,0.377,0.42,0.9
SV250,SV,250,281,288,281,0.347,0.46,0.9
SV260,SV,260,291,298,291,0.321,0.49,0.9
SV270,SV,270,302,310,302,0.298,0.53,0.9
SV280,SV,280,312,320,312,0.277,0.57,0.9
SV290,SV,290,322,330,322,0.258,0.61,0.9
SV300,SV,300,333.5,340,333.5,0.241,0.65,0.9
SV320,SV,320,349.5,352,349.5,0.212,0.74,0.9
SV350,SV,350,374.5,372,374.5,0.177,0.88,0.9
SV370,SV,370,409.5,420,409.5,0.159,0.99,0.9
SV400,SV,400,440.5,450,440.5,0.136,1.15,0.9
SV450,SV,450,491,502,491,0.107,1.46,0.9
